Id Mode logP wjh wjk whk wvj wvh wvk wij wih wik whvi ejh ejk ehk evj evh evk eij eih eik ehvi 
0477 FO 0.292 13.922 14.238 14.471 14.732 14.820 14.407 14.853 14.351 14.403 14.397 0.132 0.085 0.173 0.058 0.053 0.065 0.082 0.062 0.067 0.061 
0478 FU 0.442 14.124 14.354 14.523 14.497 14.649 14.408 14.533 14.314 14.404 14.371 0.167 0.102 0.219 0.064 0.059 0.079 0.089 0.082 0.081 0.079 
0482 FU 0.873 12.520 12.820 13.042 13.296 13.494 12.988 13.386 12.921 12.974 13.006 0.142 0.066 0.088 0.088 0.080 0.031 0.117 0.040 0.033 0.042 
0487 FU 0.493 13.930 14.093 14.215 14.528 14.663 14.244 14.590 14.235 14.228 14.305 0.212 0.139 0.212 0.132 0.122 0.092 0.171 0.049 0.094 0.050 
0488 FU 0.562 13.805 14.088 14.296 14.271 14.484 14.158 14.349 14.057 14.160 14.102 0.104 0.085 0.169 0.044 0.039 0.068 0.067 0.053 0.070 0.054 
0498 FU 0.560 13.709 14.022 14.251 14.085 14.263 14.050 14.130 13.905 14.053 13.958 0.160 0.091 0.177 0.078 0.072 0.064 0.106 0.067 0.066 0.066 
0499 FU 0.946 12.708 12.737 12.760 12.922 13.121 12.806 12.943 12.818 12.795 12.868 0.106 0.042 0.099 0.049 0.043 0.026 0.072 0.051 0.028 0.052 
0504 FU 1.158 11.924 12.060 12.161 12.313 12.561 12.154 12.353 12.124 12.141 12.196 0.095 0.037 0.104 0.033 0.028 0.028 0.056 0.053 0.030 0.054 
0510 FU 1.566 10.619 10.660 10.692 10.839 11.100 10.730 10.893 10.747 10.726 10.779 0.153 0.111 0.228 0.059 0.054 0.088 0.083 0.076 0.090 0.073 
0514 FU 0.545 13.718 13.997 14.202 14.330 14.493 14.115 14.361 14.016 14.097 14.121 0.146 0.094 0.183 0.070 0.064 0.070 0.096 0.063 0.072 0.062 
0515 FO 0.289 14.031 14.130 14.205 14.563 14.686 14.280 14.571 14.281 14.250 14.386 0.190 0.139 0.261 0.093 0.086 0.105 0.123 0.078 0.108 0.075 
0518 FU 0.512 13.821 14.196 14.472 14.367 14.563 14.262 14.375 14.078 14.247 14.197 0.110 0.064 0.132 0.051 0.045 0.048 0.074 0.052 0.050 0.053 
0526 FU 0.449 13.988 14.294 14.519 14.554 14.681 14.387 14.566 14.256 14.369 14.363 0.145 0.061 0.166 0.045 0.041 0.047 0.068 0.078 0.049 0.075 
0529 FU 0.456 14.005 14.333 14.574 14.584 14.763 14.425 14.608 14.284 14.409 14.392 0.212 0.122 0.250 0.094 0.088 0.089 0.124 0.093 0.091 0.089 
0537 FU 0.484 13.911 14.220 14.447 14.501 14.678 14.322 14.532 14.199 14.306 14.302 0.199 0.092 0.249 0.042 0.042 0.074 0.065 0.110 0.076 0.104 
0539 FU 0.538 13.692 13.943 14.128 14.243 14.398 14.050 14.262 13.956 14.031 14.060 0.160 0.077 0.178 0.063 0.058 0.056 0.088 0.078 0.058 0.075 
0540 FU 0.574 13.526 13.883 14.145 14.067 14.221 13.951 14.148 13.814 13.956 13.859 0.148 0.081 0.166 0.068 0.062 0.058 0.094 0.066 0.060 0.065 
0543 FU 0.500 13.807 14.048 14.226 14.333 14.484 14.150 14.368 14.067 14.136 14.151 0.146 0.065 0.158 0.057 0.052 0.047 0.081 0.073 0.049 0.070 
0544 FU 0.528 13.822 14.069 14.251 14.354 14.514 14.171 14.417 14.097 14.164 14.158 0.173 0.111 0.199 0.093 0.086 0.079 0.123 0.063 0.081 0.062 
0551 FO 0.399 13.428 13.860 14.177 14.069 14.184 13.936 14.066 13.723 13.917 13.855 0.134 0.072 0.151 0.060 0.054 0.052 0.084 0.062 0.054 0.061 
0553 FU 0.671 13.275 13.570 13.786 13.794 13.965 13.652 13.823 13.529 13.640 13.621 0.084 0.045 0.105 0.033 0.028 0.035 0.056 0.047 0.037 0.049 
0556 FU 0.818 12.754 13.049 13.267 13.348 13.521 13.157 13.435 13.069 13.155 13.122 0.091 0.049 0.085 0.054 0.048 0.032 0.078 0.036 0.034 0.040 
0570 FO 0.488 13.335 13.636 13.858 13.834 13.982 13.709 13.868 13.581 13.700 13.662 0.098 0.050 0.112 0.042 0.037 0.037 0.065 0.050 0.039 0.051 
0576 FU 0.705 13.156 13.388 13.559 13.637 13.788 13.478 13.658 13.389 13.462 13.478 0.067 0.029 0.056 0.039 0.033 0.017 0.062 0.033 0.020 0.037 
0577 FO 0.100 14.748 15.000 15.185 15.210 15.373 15.077 15.235 14.974 15.065 15.058 0.233 0.161 0.340 0.078 0.075 0.127 0.106 0.117 0.130 0.110 
0578 FO 0.318 13.986 14.191 14.342 14.349 14.504 14.250 14.386 14.172 14.245 14.227 0.097 0.068 0.126 0.052 0.046 0.051 0.075 0.042 0.053 0.045 
0580 FU 0.577 13.591 13.837 14.019 14.148 14.288 13.947 14.197 13.871 13.936 13.947 0.115 0.057 0.121 0.055 0.049 0.040 0.079 0.053 0.042 0.054 
0581 FO 0.290 14.059 14.200 14.304 14.487 14.623 14.301 14.501 14.264 14.282 14.348 0.164 0.100 0.192 0.080 0.074 0.072 0.108 0.068 0.074 0.067 
0583 FO 0.332 13.936 14.181 14.362 14.360 14.516 14.248 14.398 14.150 14.241 14.215 0.087 0.061 0.118 0.045 0.039 0.047 0.068 0.041 0.049 0.044 
0590 FU 1.502 10.678 10.875 11.021 11.162 11.359 10.979 11.215 10.927 10.969 10.996 0.120 0.091 0.183 0.049 0.044 0.072 0.072 0.060 0.074 0.060 
0594 FU 0.828 12.887 13.031 13.138 13.181 13.378 13.089 13.210 13.038 13.082 13.095 0.087 0.049 0.097 0.045 0.039 0.035 0.068 0.041 0.037 0.044 
0595 FU 0.589 13.564 13.930 14.199 14.248 14.400 14.043 14.345 13.925 14.043 13.981 0.124 0.073 0.140 0.063 0.057 0.052 0.088 0.053 0.054 0.054 
0597 FU 0.469 14.004 14.256 14.441 14.301 14.487 14.279 14.313 14.148 14.274 14.219 0.123 0.073 0.143 0.061 0.055 0.053 0.085 0.054 0.055 0.054 
0610 FU 0.461 14.063 14.166 14.244 14.595 14.728 14.315 14.660 14.339 14.300 14.394 0.174 0.098 0.192 0.085 0.078 0.069 0.113 0.073 0.071 0.070 
0612 FO -0.056 15.263 15.307 15.340 15.710 15.842 15.447 15.775 15.500 15.433 15.540 0.192 0.133 0.283 0.065 0.061 0.106 0.090 0.098 0.109 0.093 
