host id period V dV I dI NIR dNIR [OH]
M101 115287 17.95 24.382 0.011 23.408 0.007 22.47 0.3 9.134
M101 136682 5.358 25.927 0.03 24.85 0.022 24.41 0.57 9.118
M101 148312 11.86 25.407 0.022 24.324 0.019 22.94 0.32 9.113
M101 164932 14.92 25.348 0.023 24.201 0.017 23.03 0.32 9.105
M101 121146 11.86 25.556 0.036 24.581 0.027 23.14 0.45 9.136
M101 147959 7.762 25.91 0.03 24.885 0.024 23.79 0.42 9.113
M101 157556 25.57 24.634 0.027 23.481 0.017 22.75 0.19 9.148
M101 112715 8.173 25.767 0.034 24.783 0.027 23.8 0.42 9.124
M101 126118 6.969 25.544 0.032 24.698 0.028 23.84 0.43 9.129
M101 161621 14.43 25.748 0.034 24.494 0.023 23.96 0.37 9.15
M101 148496 17.41 24.61 0.051 23.7 0.031 22.4 0.34 9.148
M101 159452 13.21 25.595 0.029 24.386 0.021 23.56 0.43 9.149
M101 100993 11.66 25.167 0.032 24.188 0.03 23.21 0.25 9.075
M101 157343 9.268 25.295 0.035 24.39 0.025 23.65 0.47 9.145
M101 164618 21.51 24.07 0.017 23.198 0.01 22.08 0.24 9.132
M101 159255 15.24 24.847 0.02 23.796 0.014 22.48 0.37 9.152
M101 153182 15.85 25.235 0.026 24.019 0.023 22.53 0.31 9.136
M101 133176 17.21 24.946 0.022 23.92 0.019 22.86 0.32 9.14
M101 12515 11.67 25.297 0.028 24.258 0.02 23.52 0.19 9.072
M101 131897 17.57 25.052 0.025 23.951 0.015 23.05 0.25 9.126
M101 133966 13.0 25.046 0.029 24.006 0.018 23.33 0.41 9.14
M101 119836 11.56 25.12 0.015 24.194 0.011 23.21 0.33 9.103
M101 123858 14.0 25.113 0.016 24.027 0.011 23.42 0.33 9.136
M101 134953 13.39 25.486 0.035 24.447 0.029 23.23 0.26 9.132
M101 101062 30.74 25.073 0.03 23.61 0.018 22.25 0.19 9.127
M101 105242 16.09 25.231 0.019 24.016 0.014 22.82 0.31 9.129
M101 211559 19.38 24.14 0.017 23.162 0.012 22.54 0.25 9.173
M101 175251 12.21 25.133 0.023 24.029 0.016 23.15 0.34 9.119
M101 202156 7.571 25.403 0.026 24.533 0.02 23.91 0.5 9.123
M101 211383 13.2 26.453 0.076 24.679 0.047 23.28 0.42 9.114
M101 191757 11.76 25.344 0.024 24.385 0.017 23.43 0.36 9.166
M101 192848 11.36 24.991 0.023 24.058 0.016 23.49 0.44 9.159
M101 190226 10.48 25.212 0.024 24.169 0.029 22.72 0.38 9.159
M101 206223 20.74 25.837 0.03 24.262 0.022 23.05 0.22 9.154
M101 208093 24.45 25.14 0.02 23.714 0.011 22.3 0.23 9.155
M101 193736 17.58 25.118 0.026 23.968 0.019 23.27 0.31 9.165
M101 203452 12.56 25.334 0.02 24.204 0.014 23.1 0.43 9.169
M101 210917 19.59 24.089 0.019 23.15 0.013 22.68 0.26 9.121
M101 17723 5.671 26.365 0.027 25.377 0.02 24.39 0.48 9.088
M101 180634 33.82 24.389 0.031 23.02 0.027 21.61 0.19 9.147
M101 185748 11.88 25.478 0.017 24.467 0.016 23.01 0.46 9.158
M101 187438 17.27 25.139 0.034 24.063 0.021 23.12 0.27 9.129
M101 196790 18.9 24.337 0.012 23.393 0.007 22.02 0.31 9.109
M101 186264 10.02 25.494 0.029 24.442 0.024 23.3 0.41 9.15
M101 194374 23.38 24.75 0.03 23.585 0.019 22.37 0.25 9.165
M101 174970 45.9 24.272 0.024 22.822 0.014 21.52 0.16 9.145
M101 178794 15.1 25.413 0.026 24.152 0.02 22.87 0.36 9.161
M101 209367 17.07 25.668 0.03 24.225 0.02 23.0 0.31 9.174
M101 203549 12.9 24.556 0.027 23.582 0.021 22.36 0.46 9.171
M101 192950 12.98 24.762 0.019 23.834 0.011 22.48 0.44 9.163
M101 184108 24.88 24.5 0.024 23.362 0.014 22.52 0.21 9.134
M101 230395 15.6 25.163 0.041 24.017 0.025 23.41 0.38 9.147
M101 227346 9.166 25.552 0.025 24.489 0.019 24.08 0.41 9.111
M101 246134 21.59 26.181 0.035 24.387 0.025 22.83 0.26 9.169
M101 221442 9.973 25.431 0.019 24.496 0.015 23.64 0.41 9.138
M101 248725 27.6 25.392 0.02 23.655 0.015 22.31 0.21 9.171
M101 234711 27.3 24.047 0.036 22.933 0.028 22.22 0.22 9.169
M101 220991 34.56 24.398 0.042 23.156 0.028 22.31 0.21 9.118
M101 211924 32.98 23.837 0.025 22.847 0.017 21.92 0.2 9.124
M101 214942 11.75 25.403 0.029 24.305 0.024 23.48 0.33 9.131
M101 227165 11.5 24.955 0.022 24.07 0.017 23.21 0.43 9.14
M101 230803 11.49 25.113 0.021 23.954 0.021 22.63 0.58 9.133
M101 226551 69.62 22.978 0.019 21.819 0.011 20.8 0.16 9.15
M101 225028 40.14 23.892 0.012 22.914 0.009 22.04 0.19 9.153
M101 220172 35.21 24.738 0.028 23.27 0.02 22.28 0.18 9.176
M101 221821 24.11 24.896 0.02 23.673 0.014 22.6 0.23 9.177
M101 226297 16.2 25.339 0.029 24.099 0.02 23.57 0.32 9.113
M101 247555 19.91 24.162 0.022 23.158 0.013 22.32 0.26 9.18
M101 235682 23.89 24.556 0.02 23.413 0.014 22.12 0.23 9.184
M101 215047 20.64 24.286 0.041 23.281 0.03 22.58 0.23 9.149
M101 237220 26.6 24.262 0.037 23.052 0.027 22.13 0.23 9.187
M101 227057 15.88 24.889 0.029 23.791 0.019 23.22 0.31 9.153
M101 221683 19.83 24.549 0.046 23.418 0.027 22.59 0.27 9.157
M101 229119 32.49 24.316 0.04 23.148 0.022 22.1 0.22 9.162
M101 233739 14.99 25.087 0.044 24.074 0.042 23.01 0.35 9.17
M101 241530 25.97 23.757 0.024 22.866 0.013 22.03 0.27 9.171
M101 221570 11.48 25.604 0.025 24.379 0.015 23.76 0.35 9.16
M101 227320 18.9 24.803 0.048 23.707 0.03 23.06 0.37 9.184
M101 233297 12.14 25.48 0.014 24.303 0.02 23.16 0.42 9.145
M101 213832 40.99 23.912 0.029 22.715 0.018 21.86 0.19 9.123
M101 212413 14.49 24.928 0.034 23.948 0.021 23.09 0.36 9.117
M101 223903 10.16 25.11 0.024 24.107 0.02 23.36 0.48 9.124
M101 228604 23.6 24.964 0.028 23.555 0.024 22.09 0.21 9.18
M101 247523 15.52 25.313 0.047 24.027 0.031 23.16 0.29 9.13
M101 248832 15.48 24.734 0.022 23.693 0.013 22.41 0.26 9.155
M101 281523 20.17 24.46 0.041 23.489 0.026 22.75 0.2 9.154
M101 286474 18.08 24.79 0.038 23.699 0.029 22.73 0.29 9.16
M101 252819 21.61 25.67 0.037 23.966 0.024 22.58 0.25 9.148
M101 294887 26.17 24.804 0.056 23.566 0.032 22.69 0.25 9.209
M101 291662 17.83 24.733 0.032 23.574 0.021 22.61 0.33 9.212
M101 271937 19.31 24.208 0.028 23.295 0.018 22.62 0.28 9.152
M101 267629 19.2 25.153 0.031 23.901 0.02 22.64 0.26 9.157
M101 257602 14.66 25.969 0.022 24.369 0.017 23.63 0.33 9.138
M101 272627 32.2 24.903 0.037 23.284 0.021 22.26 0.2 9.202
M101 25168 5.06 25.964 0.044 25.1 0.033 24.19 0.35 9.077
M101 283512 20.88 24.997 0.029 23.843 0.022 22.78 0.3 9.162
M101 278069 19.46 24.36 0.016 23.326 0.014 22.39 0.36 9.194
M101 25852 21.19 24.349 0.035 23.329 0.022 22.32 0.16 9.073
M101 290336 15.88 24.958 0.023 24.003 0.016 23.45 0.42 9.21
M101 277736 22.76 24.564 0.03 23.531 0.019 22.34 0.24 9.188
M101 251511 10.26 25.858 0.022 24.848 0.017 24.28 0.46 9.129
M101 252496 7.277 25.615 0.031 24.507 0.023 23.73 0.51 9.169
M101 264930 17.92 24.537 0.032 23.527 0.026 22.5 0.23 9.159
M101 281695 23.89 24.24 0.027 23.18 0.017 22.21 0.3 9.208
M101 292339 15.56 25.814 0.033 24.448 0.024 23.16 0.38 9.169
M101 282769 36.12 23.767 0.015 22.775 0.008 22.25 0.21 9.207
M101 288267 13.58 24.952 0.033 23.893 0.029 22.67 0.34 9.21
M101 262967 12.91 25.384 0.016 24.091 0.013 23.19 0.33 9.168
M101 291090 18.08 24.406 0.019 23.22 0.014 21.73 0.4 9.209
M101 284067 10.95 25.363 0.022 24.465 0.018 23.52 0.47 9.164
M101 280724 28.7 24.681 0.025 23.491 0.017 21.99 0.17 9.128
M101 269853 16.16 24.445 0.019 23.578 0.013 22.71 0.39 9.188
M101 275536 31.97 25.088 0.021 23.354 0.016 22.16 0.23 9.19
M101 294352 24.99 24.17 0.028 23.209 0.019 21.68 0.3 9.209
M101 276726 12.56 24.862 0.019 23.775 0.019 22.66 0.38 9.155
M101 301266 12.48 26.059 0.041 24.541 0.024 23.87 0.51 9.211
M101 295889 19.26 25.302 0.038 23.994 0.029 22.74 0.42 9.21
M101 319860 24.04 24.696 0.019 23.427 0.016 22.37 0.28 9.205
M101 316077 9.683 25.575 0.016 24.46 0.015 23.59 0.41 9.148
M101 310588 10.96 25.113 0.02 24.256 0.013 23.02 0.37 9.156
M101 677641 20.48 23.89 0.028 23.02 0.021 22.04 0.22 9.171
M101 77186 25.6 24.761 0.085 23.67 0.052 22.68 0.21 9.091
M101 66960 27.59 23.776 0.017 22.826 0.014 22.02 0.17 9.112
M101 53242 10.26 25.538 0.021 24.425 0.018 23.19 0.24 9.054
M101 75429 9.274 25.42 0.019 24.404 0.019 22.93 0.42 9.117
M101 716117 10.69 25.059 0.025 24.145 0.023 23.44 0.46 9.168
M101 606682 10.79 25.681 0.034 24.461 0.022 23.39 0.38 9.135
M101 54672 6.859 25.642 0.032 24.724 0.028 23.96 0.25 9.078
M101 78285 10.39 25.175 0.024 24.262 0.017 23.63 0.3 9.115
M101 680030 7.876 25.351 0.033 24.413 0.023 23.68 0.31 9.125
M101 98953 10.87 25.476 0.026 24.339 0.018 23.09 0.28 9.123
M101 98167 26.0 24.061 0.021 23.027 0.015 21.99 0.21 9.126
M101 95172 15.31 24.757 0.014 23.772 0.01 22.54 0.24 9.075
M101 84304 42.36 24.032 0.032 22.864 0.019 21.42 0.17 9.12
M101 82579 7.552 25.337 0.026 24.459 0.02 23.66 0.31 9.119
M101 283560 28.93 24.619 0.024 23.36 0.014 22.28 0.22 9.208
M101 179331 26.75 24.646 0.027 23.459 0.02 22.22 0.21 9.157
M101 91034 17.3 24.935 0.018 23.774 0.015 22.21 0.29 9.122
M101 254566 12.07 25.342 0.038 24.236 0.027 23.05 0.47 9.181
M101 40851 18.28 24.631 0.018 23.581 0.014 22.48 0.26 9.165
M101 38839 17.08 24.857 0.034 23.839 0.034 22.3 0.25 9.168
M101 40060 9.882 25.544 0.026 24.489 0.02 22.93 0.4 9.166
M101 42877 19.62 24.613 0.025 23.536 0.018 22.83 0.28 9.176
M101 38279 17.25 24.579 0.033 23.546 0.023 22.57 0.27 9.17
M101 44666 12.8 25.267 0.038 24.156 0.032 23.23 0.33 9.173
M101 44333 12.49 25.685 0.026 24.356 0.025 22.95 0.29 9.162
M101 397164 6.758 25.7 0.038 24.665 0.024 24.16 0.38 9.057
M101 6705 19.16 24.044 0.049 22.984 0.029 21.91 0.37 9.182
M101 71362 11.09 25.263 0.027 24.261 0.027 23.12 0.4 9.192
M101 55763 14.1 25.344 0.017 24.106 0.017 23.1 0.24 9.156
M101 678246 19.56 25.287 0.028 24.197 0.024 22.81 0.23 9.114
M101 75602 11.27 24.949 0.021 23.959 0.017 23.02 0.29 9.178
M101 73007 15.37 24.896 0.03 23.881 0.022 23.0 0.26 9.144
M101 679198 32.92 24.261 0.028 23.068 0.022 22.06 0.16 9.084
M101 66773 18.09 25.049 0.03 24.102 0.019 23.09 0.25 9.167
M101 64911 20.6 24.932 0.025 23.73 0.019 22.59 0.22 9.184
M101 721202 14.04 24.964 0.049 23.988 0.034 23.1 0.26 9.097
M101 66284 14.48 25.433 0.024 24.069 0.019 22.73 0.3 9.172
M101 78026 10.96 25.523 0.018 24.325 0.016 23.01 0.32 9.16
M101 79671 10.38 25.005 0.02 23.946 0.013 23.25 0.38 9.177
M101 94097 10.46 25.463 0.021 24.133 0.018 22.68 0.41 9.174
M101 81242 11.52 25.419 0.023 24.358 0.02 22.96 0.36 9.183
M101 92329 23.08 24.562 0.03 23.46 0.023 22.4 0.22 9.181
M101 93020 19.31 25.395 0.022 23.834 0.015 22.69 0.29 9.179
M101 90168 5.98 25.94 0.021 24.873 0.017 23.93 0.39 9.177
M101 97872 24.6 24.653 0.02 23.509 0.015 22.5 0.21 9.184
M101 86123 17.77 25.122 0.022 24.013 0.018 22.79 0.22 9.142
M101 87556 10.95 25.104 0.027 24.202 0.015 23.19 0.37 9.181
M101 89050 24.84 24.72 0.019 23.509 0.01 22.53 0.21 9.171
M101 134136 15.03 25.377 0.047 24.36 0.034 23.31 0.26 9.115
M101 126265 10.76 25.408 0.032 24.3 0.026 22.87 0.4 9.169
M101 141245 27.25 24.935 0.035 23.717 0.025 22.52 0.17 9.166
M101 100017 18.36 24.435 0.028 23.519 0.019 22.75 0.34 9.199
M101 156248 18.82 24.737 0.036 23.654 0.024 22.74 0.21 9.191
M101 141870 10.59 25.16 0.025 24.189 0.023 22.91 0.22 9.137
M101 120706 12.86 25.393 0.041 24.219 0.025 22.71 0.3 9.179
M101 120224 31.54 24.457 0.024 23.025 0.017 21.73 0.18 9.196
M101 195818 7.364 25.695 0.03 24.728 0.021 24.18 0.36 9.104
M101 168798 11.15 25.802 0.036 24.388 0.024 23.59 0.35 9.177
M101 203569 11.39 25.406 0.027 24.384 0.026 23.83 0.31 9.133
M101 196870 5.066 26.251 0.026 25.139 0.02 24.22 0.55 9.089
M101 20978 29.04 23.943 0.032 22.981 0.023 22.23 0.47 9.188
M101 190990 10.69 25.22 0.027 24.243 0.023 22.96 0.29 9.176
M101 205603 15.05 25.128 0.032 23.888 0.024 23.4 0.27 9.151
M101 212178 9.95 25.159 0.031 24.262 0.024 23.55 0.36 9.106
M101 205210 9.064 25.184 0.035 24.186 0.036 23.28 0.29 9.172
M101 192614 12.3 25.11 0.024 24.117 0.023 22.88 0.33 9.156
M101 178616 9.65 25.764 0.025 24.65 0.022 23.52 0.3 9.125
M101 194602 17.06 24.92 0.037 23.892 0.025 23.25 0.24 9.14
M101 202091 5.261 25.912 0.032 24.995 0.025 24.24 0.47 9.126
M101 165984 26.61 24.771 0.017 23.8 0.015 22.28 0.17 9.117
M101 188874 13.93 25.479 0.047 24.441 0.029 23.26 0.28 9.152
M101 181233 24.65 24.884 0.027 23.648 0.025 22.5 0.18 9.152
M101 163272 7.876 25.759 0.037 24.749 0.027 24.01 0.52 9.17
M101 212709 9.278 25.363 0.025 24.539 0.018 23.73 0.3 9.157
M101 214250 7.673 25.785 0.038 24.841 0.028 24.15 0.43 9.167
M101 199251 71.3 23.078 0.018 21.994 0.012 21.14 0.15 9.126
M101 183024 16.91 24.631 0.033 23.704 0.02 23.03 0.23 9.137
M101 193338 12.18 24.924 0.027 23.984 0.022 23.24 0.3 9.143
M101 181580 12.91 25.51 0.03 24.384 0.025 23.72 0.24 9.142
M101 195561 10.26 25.313 0.024 24.366 0.021 23.21 0.45 9.15
M101 161100 26.46 24.307 0.03 23.304 0.026 21.95 0.21 9.187
M101 224407 5.566 26.328 0.036 25.252 0.042 24.59 0.42 9.143
M101 217106 14.32 24.88 0.023 23.788 0.021 22.54 0.27 9.113
M101 227088 25.27 25.016 0.031 23.664 0.019 22.26 0.2 9.142
M101 260680 17.19 25.369 0.024 24.002 0.017 22.72 0.2 9.109
M101 260598 6.608 25.846 0.037 24.97 0.026 23.91 0.3 9.071
M101 277390 7.459 25.826 0.031 24.917 0.024 23.84 0.33 9.11
M101 282450 17.18 25.794 0.032 24.41 0.034 23.33 0.19 9.079
M101 280742 13.67 24.836 0.024 23.875 0.015 22.98 0.3 9.072
M101 219429 19.46 24.932 0.029 23.69 0.021 22.97 0.2 9.087
M101 270707 74.88 22.893 0.024 21.838 0.017 20.93 0.15 9.12
M101 243050 76.78 23.209 0.016 21.988 0.012 20.79 0.15 9.114
M101 242444 7.151 25.733 0.026 24.634 0.023 23.82 0.39 9.149
M101 248945 19.55 24.553 0.024 23.531 0.014 22.65 0.21 9.142
M101 270678 19.21 25.287 0.02 24.223 0.021 22.8 0.22 9.136
M101 267743 7.977 25.552 0.039 24.635 0.024 23.91 0.29 9.122
M101 255017 29.52 25.221 0.023 23.668 0.015 22.42 0.17 9.093
M101 263257 15.2 24.71 0.042 23.666 0.029 22.52 0.22 9.063
M101 265018 14.03 24.838 0.034 23.815 0.023 22.8 0.24 9.092
M101 218108 6.08 25.965 0.037 25.131 0.034 24.1 0.43 9.092
M101 282449 26.25 25.111 0.041 23.625 0.028 22.74 0.17 9.08
M101 272146 26.12 24.424 0.042 23.399 0.041 22.08 0.17 9.106
M101 236615 23.04 25.012 0.038 23.836 0.03 22.28 0.21 9.133
M101 272115 10.5 25.628 0.042 24.446 0.03 23.32 0.35 9.136
M101 237507 44.7 24.368 0.035 22.983 0.023 21.54 0.16 9.157
M101 229426 24.05 25.207 0.04 23.75 0.029 22.52 0.23 9.142
M101 253052 10.68 25.054 0.131 24.178 0.092 23.43 0.34 9.126
M101 230998 6.163 25.962 0.029 24.962 0.025 24.55 0.51 9.141
M101 230116 10.86 25.163 0.032 24.103 0.021 23.05 0.4 9.142
M101 269346 11.38 25.244 0.043 24.27 0.03 23.78 0.32 9.14
M101 228878 12.9 24.868 0.021 23.949 0.014 23.19 0.35 9.105
M101 286623 15.51 25.254 0.043 24.028 0.025 23.28 0.2 9.083
M101 299699 6.86 25.591 0.02 24.769 0.015 23.97 0.39 9.124
M101 363373 6.059 26.135 0.031 25.152 0.029 23.64 0.39 9.083
M101 350718 9.372 25.501 0.025 24.608 0.017 24.04 0.34 9.099
M101 293249 20.49 24.477 0.025 23.573 0.019 22.22 0.18 9.069
M101 292025 34.87 24.338 0.022 23.021 0.014 22.33 0.17 9.109
M101 345893 11.3 25.353 0.024 24.373 0.016 23.53 0.23 9.082
M101 313164 11.27 25.198 0.025 24.221 0.018 23.38 0.26 9.112
M101 300056 18.25 24.695 0.029 23.694 0.02 22.59 0.19 9.102
M101 364866 8.779 25.568 0.017 24.565 0.015 23.92 0.27 9.077
M101 351392 14.43 25.025 0.033 24.154 0.023 22.62 0.18 9.085
M101 294062 14.12 25.487 0.033 24.383 0.025 23.28 0.28 9.118
M101 292617 26.9 24.767 0.02 23.493 0.016 22.54 0.16 9.061
M101 309447 6.378 25.631 0.035 24.776 0.024 24.38 0.39 9.073
M101 293622 16.43 25.352 0.058 24.044 0.04 23.25 0.21 9.123
M101 48875 18.27 24.514 0.019 23.458 0.021 22.06 0.33 9.173
M101 103016 13.93 24.837 0.02 23.768 0.019 22.42 0.28 9.173
M101 219452 12.78 25.148 0.018 24.144 0.016 23.49 0.26 9.167
M101 356191 17.97 25.176 0.042 24.237 0.035 23.17 0.24 9.069
N1015 130582 29.48 28.005 0.108 27.227 0.162 25.74 0.41 8.802
N1015 142580 32.59 28.123 0.136 26.685 0.088 25.18 0.48 8.684
