Host ID m dm
M101 2011fe 9.7464 0.1167
N1015 2009ig 13.4514 0.1227
N1309 2002fk 13.1924 0.1157
N1365 2012fr 11.9184 0.1247
N1448 2001el 12.2014 0.1157
N2442 2015F 12.2764 0.1417
N3021 1995al 12.9634 0.1167
N3370 1994ae 12.9124 0.1147
N3447 2012ht 12.7014 0.1237
N3972 2011by 12.4843 0.1157
N3982 1998aq 12.2313 0.1147
N4038 2007sr 12.2334 0.1137
N4424 2012cg 11.5464 0.1086
N4536 1981B 11.6134 0.1237
N4639 1990N 12.4194 0.1147
N5584 2007af 12.7014 0.1147
N5917 2005cf 13.0084 0.1147
N7250 2013dy 12.3034 0.1147
U9391 2003du 13.4704 0.1137
